,split,seed,size,Precision,Recall,F1_score,Accuracy,AUC_ROC
39,digits,5,10,0.8407118345919498,0.8894250000000001,0.8567479763544977,0.977885,0.9385694444444443
40,balanced,5,1,0.7328388485592553,0.7939893617021277,0.7600794533328882,0.9912335898596653,0.8947554347826087
41,balanced,5,2,0.4948356900536172,0.5454787234042553,0.5129030560420677,0.9806586690810322,0.7677989130434782
42,balanced,5,3,0.5004345760046764,0.5447872340425531,0.5130416560789891,0.9806292440018112,0.767445652173913
43,balanced,5,4,0.6202276022962919,0.643031914893617,0.626308268855754,0.9848098687188774,0.8176358695652173
44,balanced,5,5,0.4660492061740666,0.5009574468085106,0.4768519914727261,0.9787641466727028,0.7450543478260869
45,balanced,5,6,0.5526323999284062,0.5807446808510638,0.5570329183399586,0.9821593481213218,0.7858152173913043
46,balanced,5,7,0.6601376503986205,0.6717021276595744,0.6562955839141944,0.986029877772748,0.8322826086956524
47,balanced,5,8,0.5930927158804485,0.6237234042553191,0.5990594641845944,0.9839882299683116,0.8077717391304347
48,balanced,5,9,0.5117857071872073,0.5390425531914894,0.5185125523377139,0.9803847894975102,0.7645108695652174
49,balanced,5,10,0.5397952845086074,0.553031914893617,0.540855434149364,0.9809800814848348,0.771657608695652
50,fashion,5,1,0.4696714047075406,0.5757,0.4982857872058403,0.91514,0.7642777777777777
51,fashion,5,2,0.8934301436803352,0.893,0.893133631682894,0.9786,0.9405555555555556
52,fashion,5,3,0.7455394167860343,0.7927,0.7633117529995034,0.95854,0.8848333333333332
53,fashion,5,4,0.8517756039341601,0.8518000000000001,0.8474155417643339,0.97036,0.9176666666666666
54,fashion,5,5,0.7252544429638419,0.7836,0.7490297173693969,0.95672,0.8797777777777778
55,fashion,5,6,0.2678605466383016,0.3777999999999999,0.2916868921206516,0.8755600000000001,0.6543333333333333
56,fashion,5,7,0.8709909925322108,0.8690999999999999,0.8698796077137876,0.97382,0.9272777777777776
57,fashion,5,8,0.846701966717891,0.8464,0.845506183997301,0.96928,0.9146666666666666
58,fashion,5,9,0.3470498608207413,0.4685,0.3768581014876181,0.8937000000000002,0.7047222222222222
59,fashion,5,10,0.7501335019919577,0.8019000000000001,0.7705360955210503,0.96038,0.8899444444444444
60,digits,3,1,0.6167456069167839,0.6974,0.6349210323735672,0.93948,0.8318888888888889
61,digits,3,2,0.7253824383632193,0.7945,0.7437826957938812,0.9589,0.8858333333333333
62,digits,3,3,0.8415073506014824,0.893275,0.8593863276667122,0.978655,0.9407083333333331
63,digits,3,4,0.8422942663656532,0.89245,0.8592049960691845,0.97849,0.94025
64,digits,3,5,0.9917182464168824,0.9917,0.9917041812918164,0.99834,0.9953888888888888
65,digits,3,6,0.7248912582793186,0.7927000000000001,0.7423096859789095,0.95854,0.8848333333333332
66,digits,3,7,0.7248750609914929,0.79325,0.7427131035560185,0.95865,0.8851388888888889
67,digits,3,8,0.9905920174443266,0.990575,0.9905790273817344,0.998115,0.9947638888888888
68,digits,3,9,0.9881293099608348,0.9881,0.9881072342178104,0.9976199999999998,0.9933888888888888
69,digits,3,10,0.841284641498687,0.890375,0.8574382963523235,0.978075,0.9390972222222224
70,balanced,3,1,0.7691406037278814,0.8114361702127657,0.7878686647903763,0.9919760072430964,0.9036684782608692
71,balanced,3,2,0.4103887545951578,0.4683510638297872,0.4322801821851011,0.9773766410140334,0.7283967391304348
72,balanced,3,3,0.3859735585891941,0.4238297872340426,0.3988782792447427,0.975482118605704,0.7056521739130435
73,balanced,3,4,0.5577003054427896,0.5931914893617022,0.56895704025207,0.9826889995473066,0.7921739130434785
74,balanced,3,5,0.3908497863750569,0.4234574468085107,0.4002002071463061,0.9754662743322772,0.7054619565217392
75,balanced,3,6,0.5002824691782137,0.5215957446808511,0.5047728332859986,0.9796423721140788,0.7555978260869565
76,balanced,3,7,0.5813944952458254,0.605531914893617,0.5885219984586152,0.9832141240380264,0.7984782608695653
77,balanced,3,8,0.4429375548614475,0.4646808510638299,0.4476720391896294,0.9772204617473972,0.7265217391304348
78,balanced,3,9,0.6032047711183737,0.6209574468085107,0.601190559322773,0.983870529651426,0.8063586956521739
79,balanced,3,10,0.6019202144230555,0.6372872340425532,0.6101883292590204,0.9845654142145768,0.8147010869565218
80,fashion,3,1,0.2524872850125113,0.3554,0.2777201356640238,0.8710800000000001,0.6418888888888888
81,fashion,3,2,0.2683074867907398,0.374,0.2896302179564448,0.8748000000000001,0.6522222222222223
82,fashion,3,3,0.4251813568051011,0.4915,0.436439073995177,0.8983000000000001,0.7175
83,fashion,3,4,0.7344328052332407,0.7854,0.7540626597365303,0.95708,0.8807777777777778
84,fashion,3,5,0.7315236480343468,0.7729,0.7453876248476679,0.95458,0.8738333333333334
85,fashion,3,6,0.7142524974974196,0.7615999999999999,0.7322923148678139,0.95232,0.8675555555555554
86,fashion,3,7,0.5381166600278225,0.6113,0.5557612064377825,0.92226,0.7840555555555555
87,fashion,3,8,0.7300151498076448,0.7693000000000001,0.7425287387396866,0.95386,0.8718333333333333
88,fashion,3,9,0.354187320667742,0.4568,0.3766871715472111,0.89136,0.6982222222222222
89,fashion,3,10,0.3632465086999948,0.4644999999999999,0.3856452637008896,0.8929,0.7024999999999999
90,digits,1,1,0.410369870744994,0.49845,0.4248426779381272,0.89969,0.7213611111111111
91,digits,1,2,0.4109580739141701,0.4981,0.4249653700119576,0.89962,0.7211666666666667
92,digits,1,3,0.6174572882488036,0.696525,0.634754136066441,0.939305,0.8314027777777777
93,digits,1,4,0.9917141293234808,0.9917,0.9917036406034156,0.99834,0.9953888888888888
94,digits,1,5,0.8399607568858573,0.8912749999999999,0.8576411500661365,0.978255,0.9395972222222224
95,digits,1,6,0.6201261146256863,0.694725,0.6350692193917097,0.938945,0.8304027777777778
96,digits,1,7,0.4127389380413667,0.496075,0.4246657938428006,0.8992150000000001,0.7200416666666667
97,digits,1,8,0.7231104161758107,0.7914,0.7408651417699603,0.95828,0.8841111111111111
98,digits,1,9,0.9862950845185448,0.986275,0.9862794697440966,0.997255,0.992375
99,digits,1,10,0.9869299379792558,0.98685,0.9868631404881814,0.99737,0.9926944444444444
100,balanced,1,1,0.7532771841622672,0.8022872340425533,0.7758455793828067,0.9915866908103214,0.8989945652173913
101,balanced,1,2,0.4911079496382971,0.5342553191489362,0.5057722699997933,0.9801810774105928,0.7620652173913043
102,balanced,1,3,0.5155853053893793,0.5611170212765958,0.5290963629683823,0.9813241285649617,0.7757880434782607
103,balanced,1,4,0.5406764772839046,0.5708510638297871,0.5491413028002745,0.981738343141693,0.7807608695652174
104,balanced,1,5,0.4959651734978168,0.5313297872340427,0.5072574673458007,0.9800565866908106,0.760570652173913
105,balanced,1,6,0.5517017721253373,0.5775531914893616,0.5590587439308391,0.9820235400633772,0.7841847826086956
106,balanced,1,7,0.6631436345414446,0.6932446808510639,0.6694240533838703,0.986946582163875,0.8432880434782611
107,balanced,1,8,0.6739639269232028,0.6918085106382978,0.6751036539852217,0.9868854685377998,0.8425543478260872
108,balanced,1,9,0.54085641576065,0.5529255319148937,0.5400136828845894,0.98097555454957,0.7716032608695652
109,balanced,1,10,0.509736989223319,0.5381914893617021,0.5150967118379727,0.9803485740153915,0.7640760869565216
110,fashion,1,1,0.3012899798216567,0.3908999999999999,0.314353368394332,0.8781800000000001,0.6616111111111111
111,fashion,1,2,0.6231882460495461,0.6907000000000001,0.6439643111115927,0.93814,0.8281666666666666
112,fashion,1,3,0.5324744166862282,0.6003999999999999,0.5479949245220338,0.92008,0.778
113,fashion,1,4,0.7292191202144103,0.7686,0.7432218571141146,0.95372,0.8714444444444445
114,fashion,1,5,0.8708241961674263,0.8591000000000001,0.8579716928852511,0.97182,0.9217222222222222
115,fashion,1,6,0.7388764270975337,0.7801,0.7518619850539456,0.95602,0.8778333333333332
116,fashion,1,7,0.6166843486987115,0.7215999999999999,0.6575254850860963,0.94432,0.8453333333333333
117,fashion,1,8,0.637658598957981,0.717,0.6620534745318281,0.9434,0.8427777777777777
118,fashion,1,9,0.6420510147734351,0.7034,0.6602299516970793,0.94068,0.8352222222222222
119,fashion,1,10,0.879304983495959,0.8795,0.8789281387299791,0.9759,0.9330555555555556
120,digits,7,1,0.8428355122096575,0.8951749999999998,0.8610418126262861,0.979035,0.941763888888889
121,digits,7,2,0.7203062321171322,0.7937749999999999,0.7412410790388331,0.958755,0.8854305555555555
122,digits,7,3,0.727390093512968,0.79625,0.7455190877967179,0.95925,0.8868055555555555
123,digits,7,4,0.8417327001350943,0.8923,0.8589827193822719,0.97846,0.9401666666666666
124,digits,7,5,0.987548223038772,0.987525,0.9875295693225008,0.997505,0.9930694444444444
125,digits,7,6,0.9903280217485178,0.990325,0.990325201058228,0.998065,0.994625
126,digits,7,7,0.8403846883682803,0.890625,0.8573311243839493,0.978125,0.939236111111111
127,digits,7,8,0.8367919214324246,0.88595,0.8530409016000865,0.97719,0.9366388888888888
128,digits,7,9,0.9912709671263812,0.99125,0.9912531523762476,0.99825,0.9951388888888888
129,digits,7,10,0.5135318149481589,0.595,0.5277423399729164,0.9190000000000002,0.775
